FirstName,LastName,Name,Team,Position,Salary,Rank,Stdev,Matchup,Value
Armanti,Edwards,Armanti Edwards,Car,WR,2000,113.29,12.82535754,@Buf,17.65447667
Jordan,Todman,Jordan Todman,Jax,RB,2000,67.22,8.175543173,@Oak,29.75206612
Mike,Brown,Mike Brown,Jax,WR,2000,88.60,8.345058418,@Oak,22.57336343
Denard,Robinson,Denard Robinson,Jax,WR,2000,67.91,6.58146974,@Oak,29.44997835
Cardinals,Cardinals,Cardinals,Ari,DST,1900,12.69,5.234901624,Det,149.7185741
Chargers,Chargers,Chargers,SD,DST,1805,23.77,6.44879471,@Phi,75.95064935
Titans,Titans,Titans,Ten,DST,1426,27.15,4.490094291,@Hou,52.51558074
Giants,Giants,Giants,NYG,DST,1021,22.91,5.195323977,Den,44.57110711
Buccaneers,Buccaneers,Buccaneers,TB,DST,521,21.11,7.121734251,NO,24.67626953
Redskins,Redskins,Redskins,Was,DST,285,25.35,5.16709601,@GB,11.24383562
